AgeInMonths,Minus3SD,Minus2SD,Median,Plus2SD,Plus3SD
0,45.0,47.0,49.0,51.0,53.0
1,45.3,47.3,49.3,51.3,53.3
2,45.6,47.6,49.6,51.6,53.6
3,45.9,47.9,49.9,51.9,53.9
4,46.2,48.2,50.2,52.2,54.2
5,46.5,48.5,50.5,52.5,54.5
6,46.8,48.8,50.8,52.8,54.8
7,47.1,49.1,51.1,53.1,55.1
8,47.4,49.4,51.4,53.4,55.4
9,47.7,49.7,51.7,53.7,55.7
10,48.0,50.0,52.0,54.0,56.0
11,48.3,50.3,52.3,54.3,56.3
12,48.6,50.6,52.6,54.6,56.6
13,48.9,50.9,52.9,54.9,56.9
14,49.2,51.2,53.2,55.2,57.2
15,49.5,51.5,53.5,55.5,57.5
16,49.8,51.8,53.8,55.8,57.8
17,50.1,52.1,54.1,56.1,58.1
18,50.4,52.4,54.4,56.4,58.4
19,50.7,52.7,54.7,56.7,58.7
20,51.0,53.0,55.0,57.0,59.0
21,51.3,53.3,55.3,57.3,59.3
22,51.6,53.6,55.6,57.6,59.6
23,51.9,53.9,55.9,57.9,59.9
24,52.2,54.2,56.2,58.2,60.2
25,52.5,54.5,56.5,58.5,60.5
26,52.8,54.8,56.8,58.8,60.8
27,53.1,55.1,57.1,59.1,61.1
28,53.4,55.4,57.4,59.4,61.4
29,53.7,55.7,57.7,59.7,61.7
30,54.0,56.0,58.0,60.0,62.0
31,54.3,56.3,58.3,60.3,62.3
32,54.6,56.6,58.6,60.6,62.6
33,54.9,56.9,58.9,60.9,62.9
34,55.2,57.2,59.2,61.2,63.2
35,55.5,57.5,59.5,61.5,63.5
36,55.8,57.8,59.8,61.8,63.8
37,56.1,58.1,60.1,62.1,64.1
38,56.4,58.4,60.4,62.4,64.4
39,56.7,58.7,60.7,62.7,64.7
40,57.0,59.0,61.0,63.0,65.0
41,57.3,59.3,61.3,63.3,65.3
42,57.6,59.6,61.6,63.6,65.6
43,57.9,59.9,61.9,63.9,65.9
44,58.2,60.2,62.2,64.2,66.2
45,58.5,60.5,62.5,64.5,66.5
46,58.8,60.8,62.8,64.8,66.8
47,59.1,61.1,63.1,65.1,67.1
48,59.4,61.4,63.4,65.4,67.4
49,59.7,61.7,63.7,65.7,67.7
50,60.0,62.0,64.0,66.0,68.0
51,60.3,62.3,64.3,66.3,68.3
52,60.6,62.6,64.6,66.6,68.6
53,60.9,62.9,64.9,66.9,68.9
54,61.2,63.2,65.2,67.2,69.2
55,61.5,63.5,65.5,67.5,69.5
56,61.8,63.8,65.8,67.8,69.8
57,62.099999999999994,64.1,66.1,68.1,70.1
58,62.4,64.4,66.4,68.4,70.4
59,62.7,64.7,66.7,68.7,70.7
60,63.0,65.0,67.0,69.0,71.0
